reporter,chr,rep_1_LOD,rep_2_LOD,rep_1_delta_AF,rep_2_delta_AF,rep_1_left_Index,rep_1_max_Index,rep_1_right_Index,rep_2_left_Index,rep_2_max_Index,rep_2_right_Index,type
ODC_TFT,2,5.76,13.75,0.09085,0.1081,65700,118200,175100,0,21400,39100,unique
ODC_TFT,2,8.62,5.64,-0.12266,-0.1185,333900,409600,445100,383800,426600,480200,unique
ODC_TFT,4,6.23,5.05,-0.09877,-0.1037,60800,105800,146600,0,64500,108200,unique
ODC_TFT,5,12.59,13.07,-0.13511,-0.1623,236100,289900,318800,259300,292800,332500,shared
ODC_TFT,7,7.52,8.77,-0.13697,-0.1631,0,26900,55100,0,13100,50500,shared
ODC_TFT,7,32.61,24.87,0.24229,0.2080,392100,407800,430100,388000,410200,433300,unique
ODC_TFT,10,21.37,11.35,0.20907,0.1559,648400,659100,681800,650300,674600,701300,unique
ODC_TFT,12,8.42,7.84,0.11103,0.1116,679800,741100,831900,652600,795200,861500,shared
ODC_TFT,13,19.77,18.16,0.19637,0.1873,17800,40000,75100,32600,55600,76600,unique
ODC_TFT,13,5.88,10.04,0.10460,0.1491,385500,418000,463000,369200,403800,437200,unique
ODC_TFT,14,7.11,10.51,-0.10529,-0.1157,398800,447200,523000,364000,436300,480200,shared
Rpn4_TFT,4,14.36,10.92,-0.14533,-0.12160,205000,237000,333000,221400,244200,285300,unique
Rpn4_TFT,5,11.44,8.73,-0.13211,-0.12145,196900,234400,271000,239600,284900,318800,shared
Rpn4_TFT,7,12.19,8.24,-0.15675,-0.13913,107100,145700,191800,0,31400,90900,shared
Rpn4_TFT,7,5.62,7.98,-0.09914,-0.12378,845800,901100,949100,835500,863900,903200,unique
Rpn4_TFT,12,43.22,37,0.21993,0.24601,674500,680100,683800,649100,665600,687700,shared
Rpn4_TFT,14,25.78,7.38,0.18535,0.10509,466800,484700,501800,527800,603600,647400,shared
Rpn4_TFT,15,17.75,42.25,-0.16764,-0.28117,133500,169600,195800,151700,165200,176600,unique
