N,Sample,reads,q_read_1,q_read_2,median_coverage
1,SFA0061_pop_05,7003198,33.50,33.10,20
2,SFA0061_pop_06,7458089,33.50,33.20,18
3,SFA0061_pop_07,14753319,33.50,33.20,22
4,SFA0061_pop_08,13021901,33.60,33.20,21
5,SFA0062_pop_05,9715455,33.60,33.20,16
6,SFA0062_pop_06,10683668,33.60,33.30,23
7,SFA0062_pop_07,10024470,33.50,33.20,20
8,SFA0062_pop_08,9048156,33.40,33.00,21
9,SFA0065_pop_05,7195581,33.50,33.10,22
10,SFA0065_pop_06,5994921,33.50,33.20,20
11,SFA0065_pop_07,10007676,33.50,33.20,20
12,SFA0065_pop_08,7209531,33.50,33.10,20
13,SFA0066_pop_05,11521191,33.60,33.20,24
14,SFA0066_pop_06,12741835,33.50,33.30,22
15,SFA0066_pop_07,9798726,33.50,33.20,25
16,SFA0066_pop_08,7710111,33.40,33.00,23
